"graf_id","docname","year","wc","country","speech_id","paragraph_text","count","disasters","emissions","global warming","renewables","total_cc","model_actions","model_reasons","about_cc","paragraph_summary","topic","reason","row_id","is_crisis","crisis_reason"
"speech103_graf11","text696",2015,183,"SPA","speech103","Europe is, without a doubt, another major reality for us, but it also faces significant challenges. We have all felt the outrage and horror at the attacks that claimed the lives of our fellow citizens, at the terrible crimes in Paris and in other parts of the world, which represent a direct assault on our model of coexistence and on the most fundamental human values. And we have all been deeply moved by the plight of refugees arriving at our borders, fleeing war, or by the anguish and desperation of migrants struggling against poverty. Faced with these challenges, and many others like the fight against climate change, it is essential that the voice of Spain be heard within the European Union and in international institutions, in all matters that affect our convictions and our vital interests. Because today’s world demands strong, responsible, united, and supportive nations, loyal to their commitments to their partners and allies, and to the international community as a whole.",1,0,0,1,0,1,"Kept count of 'climate change' | Dropped count of 'climate'","climate: The term is part of the phrase 'climate change' and not used independently. | climate change: Refers explicitly to the global environmental phenomenon.",1,"The speaker addresses European challenges including terrorism, the refugee crisis, and climate change, emphasizing Spain's need for active participation in international and European institutions.","climate","Identified via dictionary pipeline",30,"yes","The speaker explicitly identifies terrorism and the refugee crisis as challenges that require active international and European participation, framing them as urgent threats to the state and regional stability."
"speech104_graf7","text704",2016,238,"SPA","speech104","And tonight, I would also like to emphasize the need for us to care for and improve our shared values in every way. And that shared values always, and above all, require respect. Respect and consideration for others, for the elderly, between men and women, in schools, in the workplace; respect for the natural environment that we share and that sustains us. Respect and consideration for ideas that differ from our own. Intolerance and exclusion, the denial of others, or the disdain for the value of another’s opinion, cannot be part of today’s Spain. Nor are unacceptable attitudes or behaviors that ignore or disregard the rights that all Spaniards share for organizing our common life. Violating the rules that guarantee our democracy and freedom leads first to sterile tensions and conflicts that resolve nothing, and then to the moral and material impoverishment of society. Because progress, modernization, and well-being always require a democratic coexistence based on respect for the law, a firm and loyal commitment to building, not destroying, to elevating, not diminishing, to strengthening, not weakening. Now is the time to think about the Spain we want for the coming decades, the Spain of our young people today, and to forge it with strength and resilience.",1,0,0,1,0,1,"Kept count of 'environment'","environment: refers explicitly to the natural environment that sustains us",1,"The speaker calls for national unity and democratic coexistence based on mutual respect, tolerance, and adherence to the rule of law.","climate","Identified via dictionary pipeline",47,"no","The paragraph focuses on promoting national values and social cohesion as a positive, normative goal rather than framing a specific threat or danger to the democratic order."
"speech105_graf11","text718",2017,82,"SPA","speech105","The defense of the environment and the fight against climate change are not minor or secondary issues, given the scale and risks they entail, risks that we are already experiencing. We must be very aware of this, and we must all become much more involved. And Spain must remain steadfast in its commitments to address a problem that affects the entire planet, a problem that requires not only global, but truly urgent, solutions.",1,0,0,2,0,2,"Kept count of 'environment' | Kept count of 'climate change' | Dropped count of 'climate'","environment: refers to the natural environment and ecological protection | climate: part of the phrase climate change, not used independently | climate change: refers to the global phenomenon of Earth's warming",1,"The speaker emphasizes the urgent need for collective action and national commitment to address the global risks posed by climate change and environmental degradation.","climate","Identified via dictionary pipeline",52,"yes","The speaker explicitly frames the situation as 'global risks' and emphasizes an 'urgent need' for action, which characterizes the issue as a serious threat requiring immediate response."
"speech106_graf5","text725",2018,371,"SPA","speech106","“A coexistence, ultimately, that demands respect for our Constitution… it is the most valuable work of our democracy and the best legacy that we can entrust to the younger generations; we must defend it, care for it, protect it. ” I believe that is necessary, yes, but I also believe that it is not enough. As a society, we have a pending commitment to our young people. We are responsible for their future, and the circumstances of today are, to say the least, not the easiest. You young people are immersed in a technological society—one of constant and accelerated change—that poses new questions, but is also full of new opportunities. You have talent, you believe in peace, you are open to the world because you are and feel European, you are compassionate, you are committed to social causes, to the fight against climate change, and to the protection of the environment. You want to live and coexist, but you face serious problems. You know that it is very difficult to find a job without adequate training. Many of you have it, but sometimes you find yourselves taking a job that is not what you trained for, or that does not meet your expectations. And we must help you: to help you build a personal and professional life project, with a decent job and salary, to have a suitable place to live, and if you so desire, to form a family and be able to balance work and family life. Our responsibility, the responsibility of all of our society, is that your abilities, your motivation, your enthusiasm, and your efforts, overcome the difficulties; because we have an obligation—counting on you, on your energy—to continue building, day by day, a better country, a more creative, more dynamic one, and always at the forefront; a more socially cohesive Spain, and one more committed to real equality between men and women.",1,0,0,2,0,2,"Kept count of 'climate change' | Kept count of 'environment' | Dropped count of 'climate'","climate: The term is not used in this specific instance. | climate change: Explicitly refers to the fight against global climate change. | environment: Explicitly refers to the protection of the natural environment.",1,"The speaker addresses the challenges facing young people in Spain, emphasizing the need for better employment, housing, and support to ensure their future success.","climate","Identified via dictionary pipeline",67,"yes","The paragraph frames the situation as a set of challenges that threaten the future success of young people, implying an urgent need for intervention in employment and housing to prevent negative outcomes."
"speech107_graf2","text731",2019,118,"SPA","speech107","And during these hours, we want to hold a very special memory for all those families and people who have been most affected and who have suffered – even tragically – the consequences of the floods and severe weather events that have occurred in Spain during recent days, as have so many others throughout the year. It is said – and it is true – that the world does not live in easy times. Perhaps it never will entirely; but the current times are, without a doubt, times of great uncertainty, of profound and rapid changes in many areas that cause concern and anxiety within our country and beyond.",1,2,0,0,0,2,"Kept count of 'floods' | Kept count of 'severe weather'","floods: refers to natural disasters and extreme weather events | severe weather: refers to extreme meteorological events and climate-related phenomena",1,"The speaker expresses sympathy for victims of recent floods and acknowledges the widespread anxiety caused by global uncertainty and rapid societal change.","climate","Identified via dictionary pipeline",76,"yes","The paragraph frames the floods as a source of victimhood and the broader societal changes as a cause of widespread anxiety, treating these as urgent threats to safety and stability."
"speech107_graf3","text732",2019,163,"SPA","speech107","The new technological and digital era, the direction of the European Union, migration flows, labor inequality between men and women, and the ways in which we must address climate change and sustainability, among others, are issues that are very present and are already significantly shaping our lives. And alongside all of this, unemployment – especially for our young people – and the economic difficulties faced by many families, particularly those who are most vulnerable, remain our country’s primary concern. It is a fact that, throughout the world – and here as well – alongside growth and development, the economic crisis has exacerbated levels of inequality. Similarly, the consequences for our own social cohesion of the technological revolution I mentioned earlier, the decline in the trust of many citizens in institutions, and, of course, Catalonia, are other serious concerns we have in Spain.",1,0,0,2,0,2,"Kept count of 'address climate' | Kept count of 'climate change' | Dropped count of 'climate'","address climate: refers to taking action on climate change issues | climate: term is part of the phrase climate change, not used independently | climate change: refers explicitly to the global climate change phenomenon",1,"The speaker outlines major national challenges, including economic inequality, youth unemployment, technological shifts, social cohesion, and the political situation in Catalonia.","climate","Identified via dictionary pipeline",77,"yes","The speaker explicitly frames economic inequality, unemployment, social fragmentation, and political instability as major national challenges that require urgent attention and action, fitting the definition of a chronic crisis."
"speech109_graf5","text753",2021,204,"SPA","speech109","Faced with this situation, what should we do? Should we allow ourselves to be carried away by pessimism? Should we fall into complacency, waiting for problems to resolve themselves? I don't think so. On the contrary, I believe that we must react: We must understand and embrace the new transformations that we are experiencing at such an accelerated pace, take the initiative and try to anticipate events; and we must also adapt quickly to changes, always keeping our major goals and priorities as a country clearly defined. Because it is also a time for new projects, new ideas, and opportunities; for initiatives full of ambition to improve and progress. We all desire an advanced society, both economically and socially, with stable and dignified employment, and with a strong welfare state; we want a society that continues to promote equality between men and women, that fosters individual and social progress; and we aspire—of course—to be at the forefront of technology, innovation, and to be fully committed to combating climate change and ensuring the sustainability of our planet and its environment.",1,0,0,2,0,2,"Kept count of 'climate change' | Kept count of 'environment' | Dropped count of 'climate'","climate: Used as part of the phrase climate change, not independently. | climate change: Refers explicitly to global warming and environmental policy. | environment: Refers explicitly to the natural world and planet sustainability.",1,"The speaker calls for proactive adaptation to societal transformations to achieve economic growth, social equality, technological innovation, and environmental sustainability.","climate","Identified via dictionary pipeline",97,"no","the paragraph frames societal transformation as a goal for growth and innovation rather than an urgent threat or danger, focusing on positive development and policy objectives."
"speech10_graf5","text78",2015,424,"SWE","speech10","Friends, in five days, we will gather to listen to a highly admired political agitator. He is 14 years old. And he told his mother, when he was going to work on Christmas Eve, ""A job well done brings inner satisfaction and is the foundation on which society rests. "" And Karl-Bertil Jonsson is right, even in our day. Even if we make the right choices: investments over cuts, and cohesion over shadow societies, the rest of the journey will be hard work. And on our journey, there are bright spots. We see how several curves are now turning upwards. Sweden is climbing, and now has the fourth highest growth rate in the EU, combined with the fourth highest investment rate. More people than ever before are going to work every day. Unemployment is decreasing, and youth unemployment is decreasing the most. And I am particularly pleased that many people who have been unemployed for a long time, who may have begun to doubt themselves, who may have felt they were no longer needed, can now, with renewed confidence, do something that might feel incredibly nerve-wracking, but at the same time, utterly fantastic: walk into a workplace and say, ""That's me – the new one! "" But friends, we still have a long way to go. There are currently over 80, 000 job openings available, but that also means that around the corner, we face a looming labor shortage in a number of professions, unless we, as a society, respond effectively. And that is what this government intends to do. And if we make the right decisions, even the difficult ones, we will turn challenges into opportunities, and immigration will become a significant asset to the Swedish labor market. It will require a significant increase in skills and knowledge. We need broad, fast-track programs, with faster language training and more vocational training programs focused on in-demand professions. We need to continue focusing on helping more companies expand into export markets, and we need to make the investments in infrastructure, housing, and climate that Swedish companies need to grow. But Sweden will work its way out of the crisis – and emerge even stronger on the other side!",1,0,0,1,0,1,"Kept count of 'climate'","climate: refers to infrastructure and climate investments for company growth",1,"The speech addresses Sweden's economic growth, rising employment rates, and the government's strategy to manage labor shortages through skills training and infrastructure investment.","climate","Identified via dictionary pipeline",106,"no","The paragraph focuses on positive economic indicators like growth and employment, and presents labor management as a routine strategy of investment and training rather than an urgent threat."
"speech10_graf6","text79",2015,203,"SWE","speech10","And there are more positive developments. In the year 2000, world leaders set ambitious goals for global development. Extreme poverty was halved by 2010, and just last fall, the World Bank announced that less than 10 percent of the world's population lives in extreme poverty. At the same time, 9 out of 10 boys and girls around the world attend school every day. That's more than ever before. Friends, the world isn't getting worse. It's getting better. And now, we are raising our ambitions even further. In September, world leaders agreed on 17 new global development goals, and just a week ago, we achieved a historic climate agreement. The goals have been set – now the work begins. Together, side by side, there are few things that our humanity cannot achieve. Fear doesn't guide us; hope does. Darkness doesn't show the way forward; light does. And behind the dark clouds of terror, war, and disasters, there is a world that is gradually becoming better. Keep that in mind during this dark winter.",1,0,0,1,0,1,"Kept count of 'climate' | Dropped count of 'disasters'","climate: Refers to the historic international climate agreement. | disasters: Refers to general human-caused or geopolitical tragedies, not environmental.",1,"The speaker highlights global progress in poverty reduction and education, while emphasizing the importance of new development goals and international climate agreements.","climate","Identified via dictionary pipeline",107,"no","The paragraph focuses on positive progress and the establishment of future goals rather than framing current conditions as an urgent threat or danger."
"speech115_graf6","text782",1999,177,"FRA","speech115","I know that many tragedies today lead us to question this hope. Yet, more and more, nations are committed to better protecting human rights, defending human freedom and dignity. A new international order is gradually emerging. Tomorrow, there must be no refuge for those who commit crimes against humanity. And on behalf of France, and in your name, this is the difficult fight that I wage every day. Within each nation, a stronger and stronger demand is being heard, calling for scientific advancements to be directed towards the well-being of humanity and never to be turned against it – I am thinking, for example, of genetic manipulation or cloning. Similarly, in the field of the environment, people no longer want the pursuit of productivity to exhaust our planet. We must seek out and punish those throughout the world who degrade our natural heritage, because it is the heritage that we will pass on to our children.",1,0,0,1,0,1,"Kept count of 'environment'","environment: refers to the planet and protection of natural heritage",1,"The speaker advocates for international human rights, ethical scientific progress, and environmental protection to ensure a sustainable future for coming generations.","climate","Identified via dictionary pipeline",132,"no","The paragraph focuses on aspirational goals and long-term sustainability rather than framing current conditions as an urgent, immediate threat or a crisis requiring emergency intervention."
