username,name,status,first_seen,last_seen,removed_at,stints,current_category,baseline_2023_07_30,type,cat,subs,tgid,updated,desc
acg_nsfw,黄油聚集地|NSFW,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
acgwallpaper,ANIME壁纸,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
acgzhenghe,高分壁纸推荐|Anime gallery,removed,2023-07-30 14:38,2024-12-22 07:13,2024-12-22 16:31,1,,yes,,,,,,
AI_Pintura,AI绘画｜AI视频 | AI音乐,present,2023-07-30 14:38,2026-08-28 16:00,,1,壁纸图片,yes,频道,壁纸&图片,32.9K,-1001911445327,2026-08-27,分享AI绘画、AI视频相关资源与技巧。同时也会分享图像处理与视频处理相关的资源与技巧。
Aliyun_4K_Movies,阿里、夸克、百度网盘4K影视资源,present,2023-07-30 14:38,2026-08-28 16:00,,1,影音资源,yes,频道,影音资源,214.9K,-1001674292882,2026-08-26,欢迎你来到4K影视频道，频道管理都是影视爱好者，主要分享以4K画质为主的电影、电视剧、纪录片、动画等影视资源。当然也有其他画质资源：如1080P、720P的稀缺资源。
Aliyundrive_Share_Channel,阿里云盘发布频道,removed,2023-07-30 14:38,2024-12-22 07:13,2024-12-22 16:31,1,,yes,,,,,,
AnimeNep,NEP.Anime | 动画仓库,present,2023-07-30 14:38,2026-08-28 16:00,,1,影音资源,yes,频道,影音资源,161.1K,-1001216816802,2026-08-26,涅普涅普的动画仓库。(简/繁/日) 频道机器人会抓取各大BT站的新番更新并自动上传发布。（原档，无二压） *上传的动画可以在Tg中直接播放，也可以下载后播放 *服务器抽风的时候可能会出现更新延迟，如有问题请大力戳 @rkiorbot 索引: t.me/AnimeNep/21206 动画搜索&新番推送: @AnimeNepbot @Animenep_helper_bot 建议&报错&吐槽: @rkiorbot 公告&索引&讨论群: @roocc
AppDoDo,APPDO 数字生活指南,present,2023-07-30 14:38,2026-08-28 16:00,,1,软件综合,yes,频道,软件综合,40.3K,-1001181224837,2026-08-27,💡互联网/数码/App/羊毛/相机/数字指南 📨商务联系：@appdo_bot （唯一，谨防诈骗） 📰独立网站：appdo.xyz 🧑🏻‍💻博客 song.al 📷浮生东京 @LifeJapan Buy ads: https://telega.io/c/AppDoDo
appmew,APP喵,present,2023-07-30 14:38,2026-08-28 16:00,,2,资源分享,yes,,,165.3K,-1001248406598,2026-08-27,发现分享好用 APP 软件，优质 资源，限免，游戏，网站，极客，教程，各种 网络 黑科技，节点，免费VPN，影视 等 关注我，喵！ 群聊：https://t.me/appmiao 资源：https://www.appmiu.com 精选：https://www.appmiao.com 广告合作： @miaobbbbb
AWAvenue,秋风のとおり道,present,2023-07-30 14:38,2026-08-28 16:00,,1,软件综合,yes,频道,软件综合,26.0K,-1001395283134,2026-08-27,一个常年秋风萧瑟的频道 🍂 遇见，观察，思考，学习，感悟。 个人向博客类频道，会分享一些有趣的； 频道内容允许转载，转载请带来源； 没事可以来附属群组吹水。 广告联系: @SuperCowboy Tips： 评论请加群，指纹入群验证； 不欢迎政治/血腥/黑灰等不宜讨论的话题 频道所有资源仅供学习交流，不得用于任何形式的商业活动，所有可供下载的内容请于下载后24小时内删除。 频道所有软件严禁在国内任何平台传播。 频道消息不代表本频道观点。
