date,commit,message,total,added,removed,added_list,removed_list
2023-07-30 14:38,1a8894946,update,203,0,0,,
2023-08-12 06:49,f31eb5576,更新,202,0,1,,tgnavindexbot
2023-10-06 14:25,8b727e10e,更新,202,1,1,sogo333,streetshoot
2023-10-29 11:36,b9fdd767e,更新,202,1,1,badupindao,bdpd8
2023-11-12 15:52,091b1440d,重大更新：频道头像支持,198,1,5,moeisland,hanfubiao hmxx_girls moesland xhlpd xyxyspace
2023-12-15 16:05,8e66cfd7c,更新,199,1,0,tgnav0bot,
2023-12-19 15:49,9b7116747,更新,198,0,1,,tgnav0bot
2023-12-25 15:29,4ff0d4ce3,更新,199,1,0,acgxhy,
2023-12-26 15:27,1ec7f765a,更新,200,1,0,tgnav0bot,
2023-12-30 08:41,cf3bac272,更新,200,1,1,maxpanel,tgnav0bot
2024-01-30 11:27,9e241b8e9,更新,199,0,1,,maxpanel
2024-02-02 13:31,b15bf914b,更新,201,2,0,clbfxs farrslgrpg,
2024-02-05 12:29,cb69b5988,更新,202,1,0,mdfl88,
2024-02-22 08:06,ae152408e,更新,203,1,0,tgnav0bot,
2024-03-18 14:43,cc0b28b53,更新,202,0,1,,tgnav0bot
2024-05-08 15:48,da1efffb9,更新,203,1,0,szzxsyzh,
2024-05-12 14:50,b3e8df437,更新,205,3,1,sznmxc teleindexbot tgqrybot,hao1234bot
2024-05-15 14:25,a597e8a1d,更新,206,1,0,ikuaisobot,
2024-06-10 10:56,ba0fa0d58,更新,204,0,2,,mdfl88 szzxsyzh
2024-06-12 12:26,e3d26841b,更新,203,0,1,,sznmxc
2024-06-16 15:56,0bf579151,更新,204,1,0,yhc11,
2024-07-01 15:18,ade0b8be9,更新,205,1,0,panda_sousuo,
2024-07-17 09:50,980e9777c,更新,204,0,1,,yhc11
2024-07-22 15:17,582b10091,更新,204,1,1,jisou_china,panda_sousuo
2024-07-25 04:57,b037b09ea,更新,204,1,1,jiso_china,jisou_china
2024-07-30 09:21,21ce1d3bc,更新,203,0,1,,jiso_china
2024-08-02 14:45,e2cc39b30,更新,204,1,0,yhc11,
2024-08-07 16:31,5fe61196c,更新,203,0,1,,ikuaisobot
2024-08-13 08:29,333540913,测试,188,2,17,clsvip telegramtips,damosuoyinadminbot daohangbot dh2345_bot kuqun_bot polarisseekbot quannengsobot qunzudaquan_bot searcheebot so1234bot sosozhbot teleindexbot telesearchmain_bot tg_chs_bot tg_index_bot tgqrybot tgzhcn zh_secretary_bot
2024-08-13 10:21,47b75714a,更新,187,0,1,,meowtgbot
2024-09-01 02:47,d725a7c91,更新,187,1,1,me888888888888,mbzfxs
2024-09-17 08:47,f653bb309,更新,188,1,0,ourvideoworld,
2024-09-19 17:18,4ae13ad84,Update ads.yml,187,0,1,,ourvideoworld
2024-09-23 12:54,6a087afb4,Update ads.yml,188,1,0,dbqun,
2024-09-30 14:29,01933c070,重大更新：新增详情页面,302,118,4,abcd13354 acg_moe airport_chat alyd_g androiddevcn appdododo appinn appletvplus appmiao blacktechsharing brahmanjg cemiuiler clanguagezh cnderivatives cnphotog coder_ot cosplaysharegroup damosuoyinadminbot daohangbot dh2345_bot dhdaxcw dockertutorial docofcard douban_discuss galgame golangcn googlevoice gov2ex gpt_user group_shouliumeiyizhifuyou ham002 hengjiazhihui hezu1 homelab520 jianjiaoqun jichang_user kejiquchat kernelsu_group kinhdownchat kuqun_bot lajilao ldfriend lilydeyaa liyuxuanxue loon0x00 loopdns loveapps maoyingshi meme981211 meowtgbot mfjd99 mio_house moemeta nagram_group nasfan nekopara netflixchina newlearnergroup notionso onlineappleusergroup open_source_community p_y_t_h_o_n pan_icu paoluqun pdcn3 plus8889 polarisseekbot pythonzh qingjuacg_chat quannengsobot quanxapp qunzudaquan_bot readfinechat rhinediscussionroom riocoolapk ruanlu samsung_cn se_talk searcheebot shadiaoo shaodiaotu_chat sharing_books4u shufm shumeipai shumozyfx simfans so1234bot sosozhbot teleindexbot telesearchmain_bot tg_chs_bot tg_index_bot tgcnx tgqrybot tgzhcn tsukigroup ubuntuzh universityalliance_info v2expro vgij3ukdaa80zdhl vpschat vpsxinhaoqi waikan2023 weiyoutuwu1 wikipedia_zh_n wolfgang88 xiafengforever xiaomi6666 xinjingdailychatroom xpyanjiusuo1 ycq_777 yiology youyousharegroup yppshare yummy_best ywtrzm zaihuachat zh_secretary_bot,dbqun smsgou sogo333 yhc11
2024-10-02 13:46,92490686d,更新,303,2,1,oscar_4kmovies xiangxiunb,kiniro_mosaic
2024-10-03 05:26,5041d1419,更新：增加反馈功能,302,0,1,,isharegroup
2024-11-04 10:40,8ddd0bc08,Update group.yml,302,1,1,aiso,meowtgbot
2024-11-04 10:42,67ddf8ba7,Update group.yml,303,1,0,gvspbot,
2024-12-22 16:31,ac829abda,更新,298,6,11,busechannels ddm1024 tossichannel txwl666 zaihuanews zh_secretary,acgzhenghe aliyundrive_share_channel baozang bizhiso catofyou dbld007 focustelegramgrouplink iospremiumapps pixivshare testflightcn youthkinga
2025-01-31 13:11,aef4c8e16,Update webstack.yml,298,1,1,rocchl,badupindao
2025-02-04 02:15,0ffa27a56,tianjia,299,2,1,freeembyguide wxbyg,wechatessence
2025-02-05 15:12,25ad359c5,Merge branch 'main' of https://github.com/tgnav/source,383,104,20,afoolrobot aliyunpanbot aliyunshare_bot antichannelspammersbot apkdl_bot atri_bili_bot autodeletead_bot botfather capoo_lottery_bot captchat_bot chelpbot cleaningtoolboxbot cnlottery_bot combot copilotofficialbot corsabot ddm1023 discussbot dropmailbot emojititlebot fangzhang_bot fanyi_bot feiyu123 fontchangerybot fragment fstikbot getidsbot gif_export_bot githubbot glbetabot gmailbot grouphelpbot http_code_402_bot ikuaisobot imdb join_captcha_bot keduckbot kimmyxyc_approve_by_poll_bot kinhrobot kmuav2bot ktagbot kydownloaderbot kylotterybot libsan_bot like littleb_gptbot livegrambot lottery8bot mine_sweeper_bot missrose_bot modularbot msg_get_bot mtproxybot music_v1bot newfileconverterbot nmnmfunbot octocatbbot pixiv_bot policr_mini_bot postbot premiumbot previews quotlybot reactbot renamersfilesbot rssflowbot rsswbot rustrssbot scihubot sosdbot sotv soutubot spambot sticker2gifbot stickerdownloadbot stickerresizerbot stickers stickerset2packbot telegraph telemetr_io_bot tempmail_org_bot tg_analytics_bot tgstat_bot tgwikiappbot translatebot transparency twitter_loli_bot twittervid_bot uploadbot username_bot utubebot verifybot vid vkmusic_bot vmomovbot wallet watchdogverifybot web2album_bot webpagebot wegrouprobot xiaocailotterybot ytdownbot ytranslatebot zuoluotv_ai_bot,bigcrowdev bookworm_bibliophile damosuoyinadminbot ddm1024 gaoxiaoshu jingxu6 junruguqingruchu linkpush mfjd99 playsales quannengsobot readfinechat shaodiaotu_chat shendu666 so1234bot teleindexbot telesearchmain_bot xiafengbutter xiaojiejiexixi zuimeibizhi
2025-02-05 16:00,25737c2b9,更新,384,1,0,pornographic_animation,
2025-02-06 14:04,3c91e00a4,更新,385,1,0,lihaiba,
2025-02-09 11:07,793e75724,更新,384,0,1,,tossichannel
2025-02-15 06:18,fd52a4a53,Update webstack.yml,385,1,0,kitkot_tv,
2025-02-16 11:22,7ad8317c7,[重大更新]频道分页,394,10,1,aipojujlb cgsfw cosyimi dayuyud hy_qingyan steampj steamsteam xiangli11 yunran1314 yuyeweimian,drawing1024
2025-02-21 16:48,14ec046cc,1,395,1,0,sogo333,
2025-03-14 14:28,696b79504,更新,396,1,0,ourvideoworld,
2025-04-16 13:15,25827183b,Update webstack.yml,396,1,1,mp4post,kitkot_tv
2025-04-16 13:46,974729024,Update webstack2.yml,396,1,1,acg_meme,shadiaotu
2025-04-24 16:27,571a06df5,Update webstack2.yml,396,1,1,hannelhalls,channelhall
2025-04-26 15:59,7c84e2574,更新群组,395,1,2,banxiaqwq,vgij3ukdaa80zdhl xiafengforever
2025-04-26 16:05,2afac842d,更新频道,396,4,3,dayuyufuhuo erobanxia xianli202505 yunran233,dayuyud xiangli11 yunran1314
2025-04-26 16:09,fbaa9bc09,修复,396,1,1,channelhalls,hannelhalls
2025-04-26 16:11,39a65f181,更新,395,0,1,,jianjiaopd
2025-04-26 16:13,2d6fde6f4,更新频道,396,1,0,jianjiaopd,
2025-05-03 15:18,2b014a5f1,修复一些问题,395,0,1,,yuyeweimian
2025-08-28 18:42,9fb614115,Update webstack.yml,394,2,3,fanrenxiuxianzhuan_trj xiangxiunbb,mp4post xiangxiunb yunpanpan
2026-06-07 02:10,55f145394,更新,395,1,0,duteba,
2026-06-14 17:53,3b38dca0c,Update webstack2.yml,395,1,1,amiaoapp,appmew
