Channel name,Handle,t.me link,Type,TGNAV category,"Subscribers (TGNAV, 2026-08-29)",Status on TGNAV,First listed on TGNAV,Last listed on TGNAV,Telegram ID,TGNAV updated,Why flagged,Description (TGNAV)
离港[̲̅V̲̅I̲̅P̅]候机室|机场交流🅥,@airport_chat,https://t.me/airport_chat,群组,兴趣社群,3500,live,2024-09-30,2026-08-28,-1001197707354,2026-08-24,airport/node topic in name,（暂无描述）
波仔分享,@bozai_up,https://t.me/bozai_up,频道,机场测试,14000,live,2026-07-15,2026-08-28,-1001349412480,2026-08-28,TGNAV category 机场测试,本群为 ”波仔分享“ 频道的内容分发频道。 波仔分享 国际聊天群 https://t.me/bozaiweb 联系波仔： @BoZaiWebBot（不推机场） 重要提示： 波仔不会已任何形式收取任何人的任何费用，谨防诈骗！ （已经有很多被骗的实例了）
小汐搬运 免费节点分享,@byxiaoxi,https://t.me/byxiaoxi,频道,机场测试,23000,live,2026-07-15,2026-08-28,-1001179696149,2026-08-28,TGNAV category 机场测试,找节点那么复杂，何不关注小汐？ 频道定期维护免费节点。 另提供付费订阅，享每小时刷新节点服务。 商务合作 @xiaoxibanyun
长风分享频道,@changfengchannel,https://t.me/changfengchannel,频道,机场测试,25900,live,2026-07-15,2026-08-28,-1001516635885,2026-08-28,TGNAV category 机场测试,分享网络技术与科学上网方法 私聊：@changfeng2021
重生之我在 TG做内置代理,@chongshengvpn,https://t.me/chongshengvpn,频道,机场测试,70900,live,2026-08-18,2026-08-28,-1002106271189,2026-08-25,TGNAV category 机场测试,Telegram 内置代理分享 MTProto / SOCKS5｜镇长自用测试 稳定更新｜失效即删
Clash爱好者,@clashios,https://t.me/clashios,频道,机场测试,14000,live,2026-07-15,2026-08-28,-1001982865923,2026-08-28,TGNAV category 机场测试,Clash 是最好滴🎉
订阅分享中心,@dingyue_center,https://t.me/dingyue_center,频道,机场测试,15800,live,2026-07-15,2026-08-28,-1001338209352,2026-08-28,TGNAV category 机场测试,✅分享订阅/机场测试推荐 ✅VPS测评/玩机教程 🔴入群验证失败2min自解 🟢投稿/合作: @ggboo_bot 🟢订阅查询: @DYCSubinfoBot ⚠️群内发链接会ban -- -- -- -- -- -- -- -- -- -- -- -- -- -- 🎉感谢VPSTown(@VPSTown )对本频道的赞助和支持 🎉感谢NodeSupport和YxVM(@yxvmcom )对本频道的赞助和支持 🎉感谢vmrack(@vmrack_chat)对本频道的赞助和支持
免费节点VPN｜白嫖资源分享,@dns68,https://t.me/dns68,频道,机场测试,50200,live,2026-07-15,2026-08-28,-1001965523384,2026-08-28,TGNAV category 机场测试,商务＆投稿: 频道直通消息 免费小火箭，小火箭账号分享 官网： zhuhai.uk an网搜索 @souws
蛋黄酱の节点分享,@fproxies,https://t.me/fproxies,频道,机场测试,15900,live,2026-07-15,2026-08-28,-1001715616893,2026-08-28,TGNAV category 机场测试,欢迎来到蛋黄酱の节点分享频道 这里会发布蛋黄酱的自整理节点 新来的小伙伴，麻烦先看看置顶 随性分享，跑路预警哦ᕕ( ᐛ )ᕗ
轩辕节点分享吧,@fq521,https://t.me/fq521,频道,机场测试,23100,live,2026-07-15,2026-08-28,-1001968588953,2026-08-28,TGNAV category 机场测试,@fq5211 小火箭分享频道 @XYJibot 投稿商务 公益节点来源于互联网，如果侵犯您的利益联系删除！ 1、免费小火箭 https://udptoos.com/ 2、苹果 安卓 电脑 教程 https://t.me/xuexibbs 3、安卓软件下载 https://t.me/langznz
