Channel name,Handle,t.me link,Type,TGNAV category,"Subscribers (TGNAV, 2026-08-29)",Status on TGNAV,First listed on TGNAV,Last listed on TGNAV,Telegram ID,TGNAV updated,Why flagged,Description (TGNAV)
广告必须死,@aa28413761,https://t.me/aa28413761,频道,iOS资源,26000,live,2026-07-15,2026-08-28,-1001699360169,2026-08-27,,（暂无描述）
黄油🦐晒饭部,@abcd13354,https://t.me/abcd13354,群组,游戏,16600,live,2024-09-30,2026-08-28,-1001328761028,2026-08-28,,（暂无描述）
ALL About RSS,@aboutrss,https://t.me/aboutrss,频道,iOS资源,9500,live,2026-07-15,2026-08-28,-1001489753190,2026-08-27,,关于 #RSS 技术的 #应用 #周边 #介绍 #方法 #教程 #指南 #讨论 #观点 #技巧 RSS = Really Simple Syndication / Rich Site Summary 推特：https://twitter.com/aboutrss 频道 RSS Feed：https://feeds.feedburner.com/ALLAboutRSS 频道 bot：@channelmcbot 群组：@allaboutrss (福利：推特账号的 Retweet 会自动发至群组)
ahhhhfs｜A姐分享,@abskoop,https://t.me/abskoop,频道,资源分享,306500,live,2026-07-15,2026-08-28,-1001651435712,2026-08-27,,A姐分享订阅频道 分享资源、影视、软件和福利等有趣的东西。 所有内容均发布在：https://www.ahhhhfs.com 影视资源：https://www.xbwpys.com/ 地址发布页：https://dizhi.abskoop.com DMCA/投稿/联系邮箱：feedback@abskoop.com 使用Chrome等非国产浏览器打开链接，挂梯子打开比较顺畅
ACG~青春动漫画廊 REBORN！二次元美壁纸、美图～,@acg_arts,https://t.me/acg_arts,频道,壁纸&图片,13400,live,2026-07-15,2026-08-28,-1002052370369,2026-08-27,,普通的美图存储、分享频道罢了，但色图哒咩(⌯︎¤̴̶̷̀ω¤̴̶̷́)✧︎ 置顶有总目录~ 有事请联系 @yangyang9_bot 或 @Lamp_Official的频道私信 防失联频道 @Lamp_Official
美图与沙雕,@acg_meme,https://t.me/acg_meme,频道,搞笑趣味,18700,live,2025-04-16,2026-08-28,-1001590459584,2026-08-26,,"始于2019-11-25 死于2025-04-15 旧频道 t.me/shadiaotu 闲聊&投稿群 t.me/shadiao_chat 新 https://t.me/shadiaotu_chat 旧 ❗️❗️❗️有验证❗️❗️❗️ ❗️评论禁血腥暴力和政治❗️ 遇到提示:""抱歉,此会话已无法访问""私聊管理解除 或者无法进入闲聊群的问题 请进群反馈 @shadiaotu_feedback"
ACG萌,@acg_moe,https://t.me/acg_moe,,,,removed,2024-09-30,2026-07-08,,,,
黄油聚集地|NSFW,@acg_nsfw,https://t.me/acg_nsfw,,,,removed,2023-07-30,2026-07-08,,,,
2.5次元日常 🍉,@acgdaily,https://t.me/acgdaily,频道,搞笑趣味,16300,live,2026-07-15,2026-08-28,-1001494646462,2026-08-26,,梗图/沙雕/新闻/锐评/废物大赏/二次元 有啥发啥 内容不保真 请自行鉴定 尽情品味 祝各位群友吃瓜愉快 转发请保留来源 公告栏 https://t.me/acgdaily/6801 入群指南 https://t.me/acgdaily/33934
ANIME壁纸,@acgwallpaper,https://t.me/acgwallpaper,,,,removed,2023-07-30,2026-07-08,,,,
黄游小仓库,@acgxhy,https://t.me/acgxhy,,,,removed,2023-12-25,2026-07-08,,,,
高分壁纸推荐|Anime gallery,@acgzhenghe,https://t.me/acgzhenghe,,,,removed,2023-07-30,2024-12-22,,,,
