Channel name,Handle,t.me link,Type,TGNAV category,"Subscribers (TGNAV, 2026-08-29)",Status on TGNAV,First listed on TGNAV,Last listed on TGNAV,Telegram ID,TGNAV updated,Why flagged,Description (TGNAV)
不是白嫖，这叫借鉴（备用）,@baipiaou,https://t.me/baipiaou,频道,资源分享,32500,live,2026-07-15,2026-08-28,-1002576291526,2026-08-27,name matches: 白嫖,简单粗暴，严选分享，每一条都实用！ 投稿、广告联系：@czp666
破解软件/VPN/资源/精选分享,@bpapk,https://t.me/bpapk,频道,资源分享,68200,live,2026-08-18,2026-08-28,-1001572340008,2026-08-25,name matches: vpn,随便发发，随便看看，不喜勿喷
Clash Verge Rev,@clash_verge_rev,https://t.me/clash_verge_rev,群组,软件社群,36000,live,2026-07-15,2026-08-28,-1002048318869,2026-08-28,name matches: clash,Clash Verge Rev 是开源免费软件 如果你从别处花钱买软件 你是这个👍👍👍 禁止以下行为(激进的封禁策略)： - 涉及[黄/赌/毒/军/政/密/敏] - 以购买了软件或购买了节点为由要求客服售后 - 滥发机场推广 - 使用[CFW]或其他客户端提问 - 问[verge安卓/鸿蒙/iOS] - 问[怎么下载/下载哪一个] - 传播[二次分发] 有问题请先阅读文档支持和github issues 赞助项目: https://github.com/sponsors/clash-verge-
曹老板白嫖分享社,@clbfxs,https://t.me/clbfxs,,,,removed,2024-02-02,2026-07-08,,,name matches: 白嫖,
破解软件VPN中文🚀,@fun_apk,https://t.me/fun_apk,频道,软件综合,279300,live,2026-07-15,2026-08-28,-1001479646396,2026-08-27,name matches: vpn,破解软件VPN中文
[合租社群]Netflix|YouTube|Spotify|office365|Hbo|Surge|美剧|等音乐影视聊天机场电影盒子软路由,@hezu1,https://t.me/hezu1,群组,兴趣社群,69500,live,2024-09-30,2026-08-28,-1001402371030,2026-08-24,name matches: 机场,合租指南: https://hezu.wiki 敬请关注通知频道 @hezu2 📣聊天群规如下： 1️⃣本群属于合租交流群，禁止讨论政治，宗教，种族歧视，色情相关内容。 2️⃣建议先Google之后再提问，对于频道置顶中已解答的问题不会重复回复。 3️⃣本群为交流群，不参与任何的商业活动，不买卖任何商品（机场/VPS/各种号码账号等等） 4️⃣合租有风险，打钱需！谨慎，建议支付宝加好友预约转账，月付防止跑路，本群只提供平台，被骗后果自负！ ⚠️吵架滋事者一律踢
苹果ios黑科技QX丨Loon丨Stash丨小火箭丨捷径规则,@ioshkj7,https://t.me/ioshkj7,频道,iOS资源,26700,live,2026-07-15,2026-08-28,-1001256050140,2026-08-27,name matches: 小火箭,各种实用软件与技巧，QX丨Loon丨Stash丨小火箭丨捷径丨分享基地。苹果，安卓，PC各种资源。 黑科技资源站： http://ioshkj.cn 电报群组： t.me/ioszy 电报群组：（备用） t.me/ioszy 京东京豆羊毛频道： https://t.me/jdjd007 QQ交流群： https://jq.qq.com/?_wv=1027&k=BeN2oYwr 微信群添加： ioshkj 回复（进群） 更多信息请关注微信公众号：ios黑科技
白嫖资源分享-破解软件,@iOSQuQ,https://t.me/iOSQuQ,,,,removed,2023-07-30,2026-07-08,,,name matches: 白嫖,
MTProxy Admin Bot,@MTProxybot,https://t.me/MTProxybot,机器人,TG官方,,live,2025-02-05,2026-08-28,571465504,2026-07-11,name matches: proxy,
外语学习跑路群,@paoluqun,https://t.me/paoluqun,,,,removed,2024-09-30,2026-07-08,,,name matches: 跑路,
秋月资源分享社-破解软件VPN,@qiuyuezt,https://t.me/qiuyuezt,频道,资源分享,349900,live,2026-07-15,2026-08-28,-1001701794325,2026-08-28,name matches: vpn,秋月资源分享社是一个优质资源频道，分享优质软件，游戏辅助，破解VPN，绅士游戏，节点订阅等，让我们的生活更精彩！ 商务合作/投稿： @tond2
Shadowrocket,@shadowrocketapp,https://t.me/shadowrocketapp,群组,软件社群,125600,live,2026-07-15,2026-08-28,-1001078465602,2026-08-28,name matches: shadowrocket,Shadowrocket 仅支持 Apple 平台 ⚠️ 提问前请先查看已知教程，友好、平等交流，避免争吵 ⚠️ 允许讨论其他产品（含竞品），但建议聚焦互联网话题 🚫 禁止讨论黄赌毒、政治、盗版、破解、免流、共享ID及其他违法内容 🚫 禁止发布广告、交易等影响群组体验的内容 📢 公告频道：@ShadowrocketNews ⏬ 下载链接：https://apps.apple.com/us/app/shadowrocket/id932747118
Shadowrocket News,@shadowrocketnews,https://t.me/shadowrocketnews,频道,iOS资源,46400,live,2026-07-15,2026-08-28,-1001148820620,2026-08-27,name matches: shadowrocket,Shadowrocket 只有iOS/iPadOS/tvOS 版本. 讨论群组: @ShadowrocketApp App Store下载链接: https://apps.apple.com/us/app/shadowrocket/id932747118?l=zh-cn
各种限免~专业白嫖,@share_free,https://t.me/share_free,频道,资源分享,2800,live,2026-07-15,2026-08-28,-1001159761458,2026-08-27,name matches: 白嫖,各种软件游戏限免福利~
